foolishly,"adv.愚笨地,无聊地"
jot down,
remove,"vt.移动,开除,移交vi.迁移,搬家n.移动,距离,班级,升级"
article,"n.文章,论文,物品,商品,项目,条款v.清楚说出adj.表达清晰的"
devastated,
contain,"vt.包含,容纳,容忍vi.自制v.[军]牵制(敌军)v.[数]可被...除尽"
recall,"vt.回忆,回想,记起,取消n.召回"
cram,v.填满
script,"n.手稿,手迹,剧本,考生的笔试卷,原本"
impression,"n.印象,感想,盖印,压痕"
brilliant,"adj.灿烂的,闪耀的,有才气的"
plot,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构vt.划分,绘图,密谋vi.密谋,策划"
comedy,"n.喜剧,喜剧性的事情"
reminiscence,"n.回想,记忆力,怀旧"
innovative,"adj.创新的,革新(主义)的"
automatic,"n.自动机械adj.自动的,无意识的,机械的"
humanity,"n.人性,人类,博爱,仁慈"
sketch,"n.略图,草图,概略,梗概,草图,拟定vi.绘略图,素描v.勾画"
cider,n.苹果酒
waterproof,"adj.防水的,不透水的"
spare room,
flip,"vt.掷,弹,轻击,(用鞭等)抽打,空翻vi.用指轻弹,抽打,翻动书页(或纸张),蹦跳n.抛,弹,筋斗adj.无礼的,冒失的,轻率的"
rubbish,"n.垃圾,废物,废话"
supposedly,"adv.想像上,按照推测"
patent,"n.专利权,执照,专利品adj.特许的,专利的,显著的,明白的,新奇的vt.取得...的专利权,请准专利"
brim,"n.(杯,碗等)边,边缘,(河)边vt.注满,使满溢vi.满溢"
delude,"vt.迷惑,蛊惑"
nonsense,"n.胡说,废话"
attach,"vt.缚上,系上,贴上v.配属,隶属于"
irretrievably,"adv.不能挽回地,不能补救地"
have a sneaking feeling,
have a sneaking feeling that,
bun,"n.小圆面包,曲卷(或结)壮的头发"
inventive,"adj.善于创造的,发明的"
survey,"n.测量,调查,俯瞰,概观,纵览,视察vt.调查(收入,民意等) 测量,勘定,审视,视察,俯瞰,通盘考虑vi.测量土地"
halo,"n.(日月周围的)晕轮,光环,荣光vt.使有晕轮,围以光环vi.成晕轮"
reactionary,"adj.反作用的,反动的n.反动分子"
stem,"n.茎,干,词干,茎干v.滋生,阻止"
deteriorate,v.(使)恶化
paradise,n.天堂
racism,"n.种族主义,人种偏见,种族歧视"
delusion,n.错觉
boon,"n.恩惠,实惠,福利"
skint,"adj.身无分文的,穷光蛋的"
chronicle,n.编年史v.编入编年史
respond,"v.回答,响应,作出反应vi.有反应"
council flat,
on a budget,
foodie,
burn out,
validation,n.确认
barely,"adv.仅仅,刚刚,几乎不能"
